"duplicate_id","author","year","journal","doi","title","label","source","pages","volume","number","abstract","isbn","record_ids"
"sr3_elicit_1","L. di Pollina, I. Guessous, Véronique Petoud, C. Combescure, B. Buchs, P. Schaller, M. Kossovsky, J. Gaspoz","2017","BMC Geriatrics","10.1186/s12877-017-0449-9","Integrated care at home reduces unnecessary hospitalizations of community-dwelling frail older adults: a prospective controlled trial","elicit_ft_include, original_exclude","elicit, original","53","17","1",NA,NA,"sr3_elicit_1, sr3_original_68"
"sr3_elicit_10","Anthony Azer, Margo Barr, George Azer, B. Harris-Roxas","2025","Australian Journal of Primary Health","10.1071/PY24018","Exploring the associative relationship between general practice engagement and hospitalisation in older carers to potentially reduce hospital burden.","elicit_tiab_exclude","elicit",NA,NA,NA,NA,NA,"sr3_elicit_10"
"sr3_elicit_100","K. McBrien, V. Nguyen, Dailys Garcia-Jorda, K. Rondeau, A. Polachek, H. Kamran, E. Lang, W. Ghali, C. Barnabe, T. Braun, P. McLane, Katrina Milaney, P. Ronksley, G. Salvalaggio, E. Spackman, K. Tang, T. Williamson, G. Fabreau","2021","Frontiers in Public Health","10.3389/fpubh.2021.605695","Connect 2 Care, a Novel Community Outreach Program for Vulnerably Housed Patients With High Acute Care Use: A Mixed-Methods Study Protocol","elicit_tiab_exclude","elicit",NA,NA,NA,NA,NA,"sr3_elicit_100"
"sr3_elicit_101","S. LaBedz, V. Prieto-Centurion, Amelia Mutso, Sanjib Basu, Nina E Bracken, Elizabeth Calhoun, R. Didomenico, Min Joo, A. Pickard, Barry Pittendrigh, Mark V. Williams, S. Illendula, J. A. Krishnan","2022","Journal of general internal medicine","10.1007/s11606-022-07461-0","Pragmatic Clinical Trial to Improve Patient Experience Among Adults During Transitions from Hospital to Home: the PArTNER study","elicit_ft_include, original_exclude","elicit, original","4103-4111","37","16",NA,NA,"sr3_elicit_101, sr3_original_111"
"sr3_elicit_102","Lyndsay Howitt, Greeshma Jacob, Giulia Zucal, Judy Smith, Rhonda Crocker Ellacott, Shirlee Sharkey","2024","Healthcare","10.3390/healthcare12181814","Navigation Support during Transitions in Care for Persons with Complex Care Needs: A Systematic Review","elicit_tiab_exclude","elicit",NA,NA,NA,NA,NA,"sr3_elicit_102"
"sr3_elicit_103","J. Pescheny, G. Randhawa, Y. Pappas","2019","European Journal of Public Health","10.1093/eurpub/ckz078","The impact of social prescribing services on service users: a systematic review of the evidence.","elicit_tiab_exclude","elicit",NA,NA,NA,NA,NA,"sr3_elicit_103"
"sr3_elicit_104","J. Tehan, A. Panayiotou, H. Baxter, P. Yates, Joanne Tropea, F. Batchelor","2018","Systematic Reviews","10.1186/s13643-018-0875-6","Is increased carer knowledge of the health care system associated with decreased preventable hospitalizations for people in the community diagnosed with dementia? A systematic review protocol","elicit_tiab_exclude","elicit",NA,NA,NA,NA,NA,"sr3_elicit_104"
"sr3_elicit_105","D. Trivedi","2016","Primary Health Care Research &amp; Development","10.1017/S1463423616000426","Cochrane Review Summary: Interventions for improving outcomes in patients with multimorbidity in primary care and community settings","elicit_tiab_exclude","elicit",NA,NA,NA,NA,NA,"sr3_elicit_105"
"sr3_elicit_106","M. Egan, S. Anderson, Janet McTaggart","2010","Topics in Stroke Rehabilitation","10.1310/tsr1703-183","Community Navigation for Stroke Survivors and Their Care Partners: Description and Evaluation","elicit_tiab_exclude","elicit",NA,NA,NA,NA,NA,"sr3_elicit_106"
"sr3_elicit_107","J. Stokes, M. Panagioti, Rahul Alam, K. Checkland, S. Cheraghi-Sohi, P. Bower","2015","PLoS ONE","10.1371/journal.pone.0132340","Effectiveness of Case Management for 'At Risk' Patients in Primary Care: A Systematic Review and Meta-Analysis","elicit_tiab_exclude","elicit",NA,NA,NA,NA,NA,"sr3_elicit_107"
